t,infer,step,vx_raw,wz_raw
1784787587.2499,108,57,0.01385,-0.02132
1784787587.2499,108,58,0.01484,-0.02879
1784787587.2499,108,59,0.01609,-0.03417
1784787587.4465,109,0,0.03039,-0.05358
1784787587.4465,109,1,0.02823,-0.03119
1784787587.4465,109,2,0.02763,-0.0333
1784787587.4465,109,3,0.03213,-0.03292
1784787587.4465,109,4,0.02532,-0.03563
1784787587.4465,109,5,0.02497,-0.0302
1784787587.4465,109,6,0.01686,-0.0134
1784787587.4465,109,7,0.01749,-0.02567
1784787587.4465,109,8,0.01785,-0.03425
1784787587.4465,109,9,0.01963,-0.03006
1784787587.4465,109,10,0.01759,-0.01429
1784787587.4465,109,11,0.02281,0.00307
1784787587.4465,109,12,0.02727,-0.00066
1784787587.4465,109,13,0.0257,-0.00325
